time,Etot,Vpot,Tkin,Pc,Pc_cart,lambda,beta,trans_error,orientation_error,s_n_j1,u_n_j1,s_dot_j1,tau_on_j1,qdot_j1,c_fric_j1,v_fric_j1,power_fric_j1,s_n_j2,u_n_j2,s_dot_j2,tau_on_j2,qdot_j2,c_fric_j2,v_fric_j2,power_fric_j2,s_n_j3,u_n_j3,s_dot_j3,tau_on_j3,qdot_j3,c_fric_j3,v_fric_j3,power_fric_j3
0.0,3.0,2.5639519436833704,1.7199112552354817e-08,0.0033766321031893374,1.0019931411750413,0.854650652794201,1.0,0.3077467298258777,0.007147601700553966,5.0,-0.8924332535681181,-0.0,4.4621662678405905,0.0,0.0,0.0,0.0,5.0,2.7955881877966156,0.0,-13.977940938983078,0.0,0.0,0.0,0.0,4.9999995504903545,2.8936856838106464,-0.0004241119007738376,-14.468427118313606,-0.00014656460552942008,-6.8,-0.0009966393176000564,1.993570779296991e-06
0.02,3.0,2.575288657274632,1.8443456943339146e-08,0.003430721040621812,1.0019809156503197,0.858429557702347,1.0,0.30706307581692305,0.0071702218783772365,5.0,-0.8908047574067126,-0.0,4.454023787033563,0.0,0.0,0.0,0.0,5.0,2.7869462499502666,0.0,-13.934731249751334,0.0,0.0,0.0,0.0,4.9999990800257805,2.8852586933230167,-0.00044503883950520356,-14.42629081225147,-0.00015424573211930692,-6.8,-0.001048870978411287,2.0980655245665013e-06
0.04,3.0,2.586532298398613,0.00044563437540120067,0.41763216247930457,1.1656348816771818,0.862305523794038,1.0,0.3063379388927419,0.007229673343693074,5.00000000131431,-1.7150272759572727,-1.0734793592310025e-05,8.57513638204044,6.259255314944312e-06,9.1,8.324809568875935e-05,1.1391948887415727e-07,4.999966919640793,2.265268709007541,-0.028576626134859805,-11.326268609135111,-0.012615115381777287,-4.7,-0.0706446461379528,0.00012036446531297671,4.9999694132643455,2.3868409291528025,-0.035165657972817864,-11.934131640091463,-0.014733138494193554,-6.8,-0.10018534176051616,0.00020332277255152392
0.06,3.0,2.5947832940111817,0.0037578734109801185,1.1783915124837026,1.3687410850461976,0.8660125531861249,1.0,0.30543022780716306,0.007892348440286896,5.00000102286103,-1.72922075353868,-0.008504076096829903,8.646105536445921,0.004917866084724665,9.1,0.06540761892683804,9.014849456359469e-05,4.99987172017999,2.2923508459577073,-0.0831856573208952,-11.461460167434618,-0.03628836199641228,-4.7,-0.20321482717990874,0.0003558592691897612,4.999890317896984,2.406547017768053,-0.09590730043250795,-12.03247113370235,-0.03985266014933586,-6.8,-0.27099808901548383,0.0005635961675162748
0.08,3.0,2.6137863825543537,0.0022824412400041846,0.9636989989517568,1.3741270872920799,0.8719255004249116,1.0,0.30429041491707937,0.009220697882135007,5.000003699703273,-1.7491323353118176,-0.02233222507972449,8.745668147829713,0.012767601758241653,9.1,0.169809103384614,0.00023670646201387577,4.999841304567521,2.2505495572076555,-0.026379957506103127,-11.252390634102982,-0.011721562594175339,-4.7,-0.06564075052738189,0.00011172151271731892,4.999811337994843,2.394610557072675,-0.09651292253153587,-11.972601013334106,-0.04030422493815422,-6.8,-0.27406872957944867,0.0005702297146098659
0.1,3.0,2.6286683294464135,0.004161391850259206,1.2018599981315923,1.456499920028323,0.8774399002321105,1.0,0.30301762584735076,0.01090802297212337,5.000007607112784,-1.7608623226904345,-0.03200591015256125,8.804325008530459,0.01817627064883709,9.1,0.2417443996295333,0.00033959614907984906,4.999812788944688,2.2200552901019326,-0.024973745636540215,-11.09986083161595,-0.011249154806137085,-4.7,-0.06299526691436767,0.0001071593421968359,4.999696161801765,2.3830996827240147,-0.14603543642584224,-11.91477433690626,-0.06127961724996567,-6.8,-0.4167013972997665,0.0008844733988676442
0.12000000000000001,3.0,2.6366197662809365,0.011028579795055579,1.7820449622180508,1.5383226410327877,0.8821160846362832,1.0,0.301586110873693,0.012928869832021198,5.000011938744449,-1.778792012178374,-0.038815487101420944,8.89398129743513,0.021821262314915657,9.1,0.29022278878837826,0.0004098130293393001,4.99968638269601,2.272757996078085,-0.11245666370806885,-11.363077204155072,-0.04948026314377785,-4.7,-0.2770894736051559,0.0004925353936882198,4.999548545828418,2.402029078777521,-0.18968900625611126,-12.00906098783973,-0.07897032052278519,-6.8,-0.5369981795549392,0.00115881019582909
0.14,3.0,2.6512912157397905,0.014779230341650884,1.9625310414093058,1.6108490752559743,0.8881390759060088,1.0,0.3000210584557234,0.015318625685804683,5.000017995216135,-1.7982101669456112,-0.05375309208042353,8.991083193908667,0.02989255264401436,9.1,0.397570950165391,0.0005678132792361608,4.999537139133495,2.259942835215911,-0.13456232517678204,-11.298668136980597,-0.05954235792160034,-4.7,-0.3334372043609619,0.0005994054391959196,4.999389926752992,2.383505905278128,-0.20905844086566278,-11.916075413203746,-0.08771047741174698,-6.8,-0.5964312463998794,0.0012974890315297924
0.16,3.0,2.6741926191257557,0.01492235499110756,1.893078775702603,1.7108915797770288,0.895853621629259,1.0,0.29829365690159976,0.01810030080449905,5.000025168631195,-1.8128229739614825,-0.06416684136013812,9.064160496080266,0.035396087914705276,9.1,0.4707679692655802,0.0006775354889027395,4.99942272551191,2.2169749040371967,-0.10356048778917233,-11.083594717133147,-0.046712521463632584,-4.7,-0.2615901201963425,0.000463536769966838,4.9992177503329005,2.36543942844346,-0.2337900362069107,-11.825346778011857,-0.0988357737660408,-6.8,-0.6720832616090774,0.0014770182616108299
0.18,3.0,2.6930149669724344,0.017662830685068808,1.94466713501285,1.7647721644587822,0.9029880976170924,1.0,0.29651953556409266,0.020994706177582825,5.000032886932326,-1.823846135270917,-0.07080042690144235,9.119290657059008,0.03881929814815521,9.1,0.5162966653704644,0.0007465957746682536,4.999303245860572,2.1967552418782743,-0.10926617542812996,-10.982245611083282,-0.04973980411887169,-4.7,-0.2785429030656814,0.0004952634975917716,4.999034643029834,2.3490204870007534,-0.2557332216757853,-11.742834791703578,-0.10886802524328232,-6.8,-0.7403025716543198,0.001641795701425698
