time,Etot,Vpot,Tkin,Pc,Pc_cart,lambda,beta,trans_error,orientation_error,s_n_j1,u_n_j1,s_dot_j1,tau_on_j1,qdot_j1,c_fric_j1,v_fric_j1,power_fric_j1,s_n_j2,u_n_j2,s_dot_j2,tau_on_j2,qdot_j2,c_fric_j2,v_fric_j2,power_fric_j2,s_n_j3,u_n_j3,s_dot_j3,tau_on_j3,qdot_j3,c_fric_j3,v_fric_j3,power_fric_j3
0.0,1.2,0.6061173122419571,0.0,0.0,0.0,0.5050977602016309,1.0,0.2293748484809257,0.25728627079890415,5.0,-3.109931647695661,-0.0,15.549658238478305,0.0,0.0,0.0,0.0,5.0,-0.843133694972962,-0.0,4.21566847486481,0.0,0.0,0.0,0.0,5.0,-0.8815548045221536,0.0,4.407774022610768,-0.0,0.0,-0.0,0.0
0.02,1.2,0.6079385221926753,0.0,0.0,0.0,0.5066154351605627,1.0,0.22886252608120924,0.2572966690462096,5.0,-3.104139415044384,-0.0,15.520697075221921,0.0,0.0,0.0,0.0,5.0,-0.8433374084502512,-0.0,4.216687042251256,0.0,0.0,0.0,0.0,5.0,-0.8811901936720995,0.0,4.405950968360497,-0.0,0.0,-0.0,0.0
0.04,1.2,0.6096437129232737,0.00036744588308406257,0.36068556756013165,-0.11485678369183017,0.508192038329645,1.0,0.22828980804062884,0.25724382252509737,4.9999261257745395,-2.9005581497077313,-0.05607257189705346,14.502576472051944,0.01933164894580841,4.76,0.1892568431794643,0.0001913545916699707,5.000000003474281,-0.8839387431122958,-2.4728728363722967e-05,4.419693718632531,2.7975613193120807e-05,4.73,0.00016785367915872484,2.646586924261253e-07,4.999999996835694,-0.7610253176921509,-1.3527330793537205e-05,3.805126586052637,1.777513898559846e-05,3.36,7.998812543519307e-05,1.1945177758331526e-07
0.06,1.2,0.6103355563318069,0.0022743194093642646,0.6376731297502973,-0.4118030468437926,0.5095787509797999,1.0,0.22752394272788726,0.2570925237410143,4.999763635197599,-2.8510920419882724,-0.12788731206992743,14.25478631213423,0.04485555365681648,4.76,0.4391358703002333,0.0004664202359986628,5.000000973887317,-0.8640874134601766,-0.004737826357952356,4.320437908824656,0.00548304058611393,4.73,0.03289824351668358,5.223032875346545e-05,4.9999998642721355,-0.7299629441912124,-0.0008500991385135863,3.6498146218797505,0.001164578483439982,3.36,0.005240603175479919,7.838173596113499e-06
0.08,1.2,0.6133677175986041,0.0025627852491404545,0.5223846962180166,-0.418571687545624,0.5122337188478164,1.0,0.226561526338434,0.2568709577835872,4.999598529095319,-2.8532778119699946,-0.12998719108881912,14.265243551825495,0.04555714502930641,4.76,0.44600444983690973,0.00047434139948886926,5.000001316505862,-0.8793606056445796,-0.0021646143100954884,4.39680418590629,0.002461577532812953,4.73,0.014769465196877718,2.335923582781113e-05,4.999999839189866,-0.7484151962282283,-0.00012306700154944173,3.7420758607883933,0.00016443680215161294,3.36,0.0007399656096822582,1.1052586656159557e-06
0.1,1.2,0.6158735459491887,0.003532755891022374,0.8506443448333924,-0.36050378223698565,0.514743340431218,1.0,0.22556576628715794,0.256628254888939,4.999380836750402,-2.8744938705674463,-0.17339889674696585,14.370689571871381,0.06032327935099602,4.76,0.5905649048462509,0.0006455272428813517,5.000001937224055,-0.8867145416631041,-0.004232937413137066,4.433574426080261,0.004773731809109449,4.73,0.028642390854656696,4.543296509879903e-05,4.999999793744588,-0.7522480813662006,-0.0002136834962717334,3.761240251675765,0.0002840598754119128,3.36,0.0012782694393536076,1.909608572883425e-06
0.12000000000000001,1.2,0.6171819106367379,0.006149986791742937,1.2744541882244966,-0.3979084597447579,0.5169677127013406,1.0,0.22451856575255638,0.25621397064575324,4.999076049479064,-2.870792862506588,-0.2502661923426754,14.351311841972128,0.08717668056488037,4.76,0.8534597027301788,0.0009787255667374742,5.000002442741833,-0.8906555435815,-0.003729099678172394,4.453279893549055,0.004186915699392557,4.73,0.025121494196355343,3.981858567313943e-05,4.999999762497543,-0.7503020549908046,-0.00015005185815343848,3.7515100967554416,0.00019998860079795122,3.36,0.0008999487035907805,1.3442833563262743e-06
0.14,1.2,0.6192623778270686,0.00865542980784202,1.5258058260385579,-0.46169642744993467,0.519801234102393,1.0,0.22337659655398906,0.2555932594858969,4.998712041316381,-2.8769111828573406,-0.30488319779184403,14.380850571546741,0.10597588121891022,4.76,1.0375038771331309,0.0012287911644984642,5.000002614266114,-0.894841658752305,-0.0014453570651724954,4.474210633115751,0.001615209854207933,4.73,0.009691259125247598,1.5311192055284612e-05,4.99999973757958,-0.7528989879893777,-0.00011615079317007587,3.7644947423708204,0.000154271416249685,3.36,0.0006942213731235825,1.0369181142267283e-06
0.16,1.2,0.6229806440659058,0.009670709590680468,1.5934492080993814,-0.497680979275455,0.5233683226022952,1.0,0.2222270592947691,0.2549351247740657,4.9983315845006935,-2.867528011650212,-0.3216494516248976,14.332855830071727,0.11216959357261658,4.76,1.0981403210759162,0.0013142104378128863,5.000002688795235,-0.896830850056397,-0.0006675672340243884,4.484156661676502,0.0007443624781444669,4.73,0.004466174868866801,7.0483179492330905e-06,4.999999717290611,-0.7529013480171944,-9.454082861570704e-05,3.7645065272336917,0.00012556868023239076,3.36,0.0005650590610457584,8.439634386027637e-07
0.18,1.2,0.6284906169844046,0.009614506310282095,1.580572801160623,-0.5033923429746318,0.5279723419985031,1.0,0.2209641328221423,0.2541450689845959,4.997951534883483,-2.8780743007020915,-0.3201516873640136,14.384475868702724,0.11123815923929214,4.76,1.08902157895267,0.0013012687875871862,5.000002738641187,-0.89729286067012,-0.00045348951966802975,4.486466760713785,0.0005053974455222487,4.73,0.0030323846731334925,4.7841249535757595e-06,4.999999700007588,-0.7537175904780925,-7.979754003012356e-05,3.7685877262809044,0.00010587193537503481,3.36,0.00047642370918765664,7.115602855205344e-07
