time,cbf,h_dot,h_dot_test,nominal_torque_j1,safe_torque_j1,qdot_j1,nominal_torque_j2,safe_torque_j2,qdot_j2,nominal_torque_j3,safe_torque_j3,qdot_j3
0.0,0.2,0.0,11.997773177184591,1.4104250387096344,1.410425028866499,0.0,4.621651106365339,4.621651104071966,0.0,3.6661789360858488,3.6661789386871497,-0.0
0.02,0.2,0.0,12.04511001303973,1.4553524181379376,1.4553524082956464,0.0,4.6185660112550195,4.618566008961826,0.0,3.6760995606019087,3.6760995632029374,-0.0
0.04,0.2,0.0,12.061081713464255,1.4706162342730256,1.4706162244343732,0.0,4.618059671215137,4.618059668922775,0.0,3.680002711342949,3.6800027139429967,-0.0
0.06,0.2,0.0,12.075725389651378,1.4851285093965576,1.4851284995492433,0.0,4.616266062767182,4.616266060472828,0.0,3.6827606590675472,3.6827606616699247,-0.0
0.08,0.2,0.0,12.084090596964703,1.4932785664038033,1.4932785565561932,0.0,4.615966069565636,4.615966067271205,0.0,3.6847577824495668,3.6847577850520272,4.365724635135848e-06
0.1,0.2,0.0,12.083780464128242,1.5073777210181531,1.507377711165666,0.0,4.555817222566732,4.555817220271189,0.007081482093781233,3.612652858631896,3.6126528612356616,0.004877908155322075
0.12000000000000001,0.2,0.0,12.098636658603859,1.5216528095133344,1.5216527996633538,0.0,4.549189565220403,4.549189562925437,0.007254510652273893,3.611793184588331,3.611793187191402,0.005559552926570177
0.14,0.2,0.0,12.108896679926671,1.530117208365642,1.5301171985119686,0.0,4.559854243048108,4.55985424075229,0.006319056730717421,3.625184781606148,3.62518478421019,0.0043974523432552814
0.16,0.2,0.0,12.12023715412705,1.5379733778897546,1.5379733680271799,0.0,4.570345572510415,4.570345570212556,0.004706342704594135,3.642099916792789,3.642099919399196,0.0034031313844025135
0.18,0.2,0.0,12.132474687928205,1.5460148417990265,1.546014831934097,0.0,4.578870234980665,4.578870232682271,0.0031167478300631046,3.6582939006382906,3.6582939032453345,0.0027678851038217545
0.19999999999999998,0.1996128515340388,-0.019357423298060894,5.299820397170052,8.314947396451956,8.314947387371937,0.0003871484659612179,4.586856153509919,4.586856151394387,0.002304150490090251,3.669505595264031,3.669505597663613,0.0020397284533828497
0.21999999999999997,0.19950230139074848,-0.005527507164515555,5.309726041530521,8.323684793503137,8.323684784458496,0.000497698609251529,4.589590735366924,4.589590733259643,0.0016877310117706656,3.676410203962469,3.6764102063527178,0.0017539659747853875
0.23999999999999996,0.19946384923532606,-0.0019226077711209655,5.316384284314719,8.330818004715649,8.330817995679414,0.0005361507646739483,4.589129862648261,4.589129860542966,0.001495537580922246,3.678759441915667,3.6787594443036955,0.0016779917059466243
0.25999999999999995,0.19950914818327875,0.002264947397634387,5.327082305880307,8.338360409618456,8.338360400568156,0.0004908518167212605,4.5892129658498195,4.589212963741229,0.001284265425056219,3.6821890875594314,3.682189089951167,0.0017258749576285481
0.27999999999999997,0.19948408955242486,-0.0012529315426945686,5.334385980475001,8.346194332726006,8.346194323682623,0.0005159104475751519,4.589286330159335,4.5892863280523555,0.0010378470178693533,3.686136041769259,3.6861360441591957,0.0018117749132215977
0.3,0.19951553615392187,0.0015723300748504698,5.33883520270176,8.353783828089885,8.353783819033792,0.0004844638460781425,4.5816825006664095,4.581682498556479,0.002627717796713114,3.6743094039818307,3.67430940637513,0.0020632767118513584
0.32,0.19241715390235187,-0.35491911257850006,5.231011167456906,8.38986593469394,8.389865928057883,0.007582846097648144,4.577033707838785,4.577033706292684,0.004646270070225,3.6589931042419916,3.6589931059957292,0.001898092683404684
0.34,0.18470721766352655,-0.38549681194126606,5.106780543987229,8.418143086424662,8.418143081994355,0.015292782336473465,4.577298533092671,4.577298532060484,0.005303798709064722,3.6519628205516828,3.6519628217225195,0.001664277515374124
0.36000000000000004,0.1802579302340746,-0.22246437147259712,5.039438986317824,8.438340098307082,8.438340094949284,0.019742069765925407,4.5779447777577955,4.577944776975486,0.005785895511507988,3.648395150318451,3.6483951512058455,0.0013693415094166994
0.38000000000000006,0.17777998819947244,-0.12389710173010826,5.004494815075168,8.453026985518663,8.45302698268988,0.022220011800527573,4.577767714143639,4.577767713484589,0.0059697614051401615,3.647244339046397,3.647244339793986,0.0011684090131893754
0.4000000000000001,0.1765926655381918,-0.0593661330640316,4.993782705691567,8.463088421625944,8.463088419035303,0.023407334461808205,4.581095259098568,4.581095258494999,0.005628232844173908,3.6523056495372286,3.652305650221887,0.0008347457624040544
0.4200000000000001,0.17578249871730806,-0.040508341044187546,4.987360838608209,8.471939728175645,8.471939725738318,0.024217501282691956,4.582854822876321,4.5828548223084775,0.005118778441101313,3.657706802201328,3.657706802845478,0.0007025746162980795
0.4400000000000001,0.17589869238436223,0.0058096833527088165,4.99881745204849,8.478846425077288,8.47884642261715,0.02410130761563778,4.584277102879917,4.584277102306758,0.004647452849894762,3.6632250667145607,3.663225067364739,0.0006075779092498124
0.46000000000000013,0.17590938210487367,0.0005344860255718231,5.008635872320262,8.48554946014812,8.485549457686567,0.024090617895126343,4.585298611475793,4.585298610902303,0.0040677208453416824,3.669097913449347,3.669097914099896,0.0006291085737757385
0.48000000000000015,0.17447519935667516,-0.07170913740992546,4.994319521710414,8.496414165032405,8.496414162834544,0.025524800643324852,4.587496892705825,4.587496892193773,0.0029949587769806385,3.677602063740621,3.677602064321484,0.0006577573949471116
0.5000000000000001,0.17362668439745904,-0.04242574796080589,4.987713879503374,8.504800800752516,8.504800798704867,0.02637331560254097,4.589027663478737,4.589027663001681,0.002512472216039896,3.682593796042889,3.682593796584052,0.0006051111267879605
