time,Etot,Vpot,Tkin,Pc,Pc_cart,lambda,beta,trans_error,orientation_error,s_n_j1,u_n_j1,s_dot_j1,tau_on_j1,qdot_j1,c_fric_j1,v_fric_j1,power_fric_j1,s_n_j2,u_n_j2,s_dot_j2,tau_on_j2,qdot_j2,c_fric_j2,v_fric_j2,power_fric_j2,s_n_j3,u_n_j3,s_dot_j3,tau_on_j3,qdot_j3,c_fric_j3,v_fric_j3,power_fric_j3
0.0,3.0,2.6685080795425504,0.0,0.0,1.0,0.8895026931808501,1.0,0.3028051413547014,0.0007727686690312934,5.0,-1.0139257757251572,-0.0,5.069628878625786,0.0,0.0,0.0,0.0,5.0,3.0561110190759897,0.0,-15.280555095379949,0.0,0.0,0.0,0.0,5.0,2.9463488573892413,-0.0,-14.731744286946206,-0.0,0.0,-0.0,0.0
0.02,3.0,2.683156508297798,0.0,0.0,1.0,0.8943855027659326,1.0,0.3019798969503439,0.0007564015747117942,5.0,-1.0110434032189224,-0.0,5.055217016094612,0.0,0.0,0.0,0.0,5.0,3.0454256153920047,0.0,-15.227128076960025,0.0,0.0,0.0,0.0,5.0,2.936723312665297,-0.0,-14.683616563326485,-0.0,0.0,-0.0,0.0
0.04,3.0,2.6964700705508493,0.001251391595324481,0.7344788602916286,1.4020715283439544,0.8991984399737204,1.0,0.3010907532948026,0.0008574913563236914,4.999999999516938,-1.853185525789906,-1.3495727639405274e-05,9.265927628054326,7.282448223122628e-06,9.1,9.685656136753096e-05,1.3254196836661827e-07,4.999928107608592,2.6383514003525277,-0.056643593736576514,-13.191567324371093,-0.02146931365132332,-4.7,-0.12022815644741057,0.00020697398032341885,4.9999521547576276,2.563233421005544,-0.05216186190194455,-12.816044466503435,-0.020350024104118347,-6.8,-0.13838016390800476,0.000282392407158129
0.06,3.0,2.701228816071623,0.008686440963118483,1.6239476393552412,1.9199487673481679,0.9030242944311537,1.0,0.29989764298479654,0.0019594921406454816,4.999999525316136,-1.8712441578706895,-0.014451019816778347,9.35621990110404,0.007722679991275072,9.1,0.10271164388395847,0.00014213919415539353,4.999743944310851,2.672209704166061,-0.1473005874216323,-13.360364286332956,-0.055123139172792435,-4.7,-0.30868957936763763,0.000552189385513595,4.999840210087029,2.5791860466918166,-0.12518748346940997,-12.895518105545147,-0.048537593334913254,-6.8,-0.3300556346774101,0.000692151481702558
0.08,3.0,2.7278299313011467,0.005579464236593496,1.103504998674542,2.0,0.9109708869284473,1.0,0.29838391586617824,0.004120502692577512,4.999998793413739,-1.883111072107898,-0.025684018947930244,9.415553088403543,0.01363914180546999,9.1,0.1814005860127509,0.0002531806774920003,4.99965976002453,2.6089428082229618,-0.06695278799315763,-13.043826374477735,-0.025662804022431374,-4.7,-0.1437117025256157,0.00024860644832614456,4.9997337680249165,2.5505546882067724,-0.12052237162496096,-12.752094401821662,-0.04725339636206627,-6.8,-0.3213230952620506,0.0006730134056855086
0.1,3.0,2.7450471561343255,0.008862071539173962,1.2782861658929465,2.0,0.9177267052833189,1.0,0.2966802822296804,0.006808269137213382,4.999997769702408,-1.9007374185028054,-0.04054599142715022,9.503682853303939,0.02133171632885933,9.1,0.2837118271738291,0.0004003413576180688,4.999583848205215,2.5874002620983285,-0.06057762802662118,-12.935924559228743,-0.023412546142935753,-4.7,-0.13111025840044022,0.00022621718369282117,4.999576269276942,2.5517614187868185,-0.18370835349052017,-12.75772583422304,-0.07199276238679886,-6.8,-0.48955078423023224,0.0010495897950311807
0.12000000000000001,3.0,2.746930635005324,0.021665876241123393,1.9879232128662896,2.0,0.9223043892531761,1.0,0.29477152592715167,0.010061683388167899,4.999996642469062,-1.91281241151799,-0.05176516146412459,9.5640556352631,0.02706233039498329,9.1,0.3599289942532778,0.0005120154479111284,4.999343556430501,2.618375480029994,-0.19736264158870698,-13.090158584403571,-0.0753759890794754,-4.7,-0.42210553884506224,0.0007721675423198118,4.999389135401262,2.5314155291842915,-0.2255235004179548,-12.655531293789982,-0.08908987790346146,-6.8,-0.6058111697435379,0.0013195656257770855
0.14,3.0,2.753477441687605,0.03299846485395058,2.2173739970111557,1.8125019362837265,0.9280337098147359,1.0,0.29264922927584014,0.01381371518788426,4.999995668234074,-1.917039954510701,-0.05841486874578776,9.585191468385151,0.03047138825058937,9.1,0.4052694637328387,0.0005792775125117495,4.999035228478318,2.597268004178664,-0.2590694455664391,-12.983834250688714,-0.09974690526723862,-4.7,-0.5585826694965362,0.0010490546947484276,4.999178704121148,2.494008613520792,-0.26522560087003144,-12.467994748607854,-0.10634510219097137,-6.8,-0.7231466948986053,0.0016000996081333213
0.16,3.0,2.7816157529403527,0.03363984489027063,1.9491215779729596,1.8054387062050279,0.9377201713517006,1.0,0.2903784364024032,0.017887631555611364,4.9999949793940575,-1.9240993456789774,-0.06827922307690978,9.620487068250279,0.03548632934689522,9.1,0.4719681803137064,0.000679348030689227,4.998771165978975,2.52903597975077,-0.22413554719304118,-12.642072133301538,-0.08862489461898804,-4.7,-0.496299409866333,0.000921042975216227,4.9989587131968145,2.450371524607272,-0.28999871119067167,-12.249306083504884,-0.1183488741517067,-6.8,-0.8047723442316055,0.0018000324902396915
0.18,3.0,2.8080101108675772,0.03591482044221362,1.8248368518752478,1.782808816749964,0.9473446074469782,1.0,0.2879997547670755,0.022241759359472195,4.999994356081523,-1.9371235778461333,-0.079783759447103,9.685606956263115,0.04118671640753746,9.1,0.5477833282202482,0.0007947210318015505,4.998511516119864,2.4834005805105823,-0.22348916809263306,-12.4133064008209,-0.0899932011961937,-4.7,-0.5039619266986847,0.0009366423853734531,4.998743501604738,2.4054914845210034,-0.2944754775874336,-12.0244349264149,-0.12241800874471664,-6.8,-0.8324424594640731,0.0018686968154924392
0.19999999999999998,3.0,2.8212936248105973,0.04617274626671792,1.8922109659237918,1.4716322174304814,0.9551315572854918,1.0,0.2854578917372458,0.026887972242258334,4.999993646565716,-1.9381616078440818,-0.0798198193552848,9.690795725238003,0.041183263063430786,9.1,0.5477373987436295,0.0007946506145187167,4.998213469923941,2.450262169841042,-0.26265624848178376,-12.24693338214456,-0.1071951612830162,-4.7,-0.6002929031848907,0.001136331505208261,4.9985176944019685,2.363048345740925,-0.3275435876120691,-11.811738968913312,-0.1386106163263321,-6.8,-0.9425521910190582,0.002146399862271889
0.21999999999999997,3.0,2.831261872932226,0.05895390148250901,2.035045367754651,1.056069178011979,0.9626717086683528,1.0,0.282798817546107,0.03174994028809715,4.999992955685589,-1.934497312122745,-0.07695331260838321,9.67247293340643,0.03977948799729347,9.1,0.5290671903640032,0.0007660787254484345,4.997878470510045,2.407517521713131,-0.30410632352392436,-12.032479989145758,-0.12631531059741974,-4.7,-0.7073657393455505,0.001366066165758559,4.998284979050455,2.3118206591024797,-0.36491819774850426,-11.555138474650446,-0.15784883499145508,-6.8,-1.0733720779418945,0.0024856052199147597
0.23999999999999996,3.0,2.8516131422336226,0.06722791520801118,2.1453729733705393,0.8384972375779921,0.9723268838450764,1.0,0.28002309100803724,0.03674682006654718,4.999992567636409,-1.9418525791883836,-0.08574713355664991,9.709248463387508,0.04415738582611084,9.1,0.5872932314872742,0.0008555310896669112,4.997524504909519,2.35178542833386,-0.33200476140112783,-11.753105308387594,-0.14117136597633362,-4.7,-0.7905596494674683,0.001550219611379724,4.998068208193494,2.243602638827808,-0.36822351664417785,-11.213679020944298,-0.16412153840065002,-6.8,-1.1160264611244202,0.0025983808816399862
0.25999999999999995,3.0,2.885323907566796,0.06969313177684691,2.209215548924632,0.7536812135676547,0.9846490614535421,1.0,0.27712776798243594,0.041899763629760146,4.999992331743922,-1.9438250147107863,-0.0885954666998514,9.719110167805947,0.04557790234684944,9.1,0.6061861012130976,0.0008847752045628757,4.997194543832313,2.2776204425562114,-0.31812352719022924,-11.381712448462837,-0.1396736353635788,-4.7,-0.7821723580360412,0.001531429885873234,4.997862694251429,2.1827545144917164,-0.38466988215207343,-10.90910735868704,-0.17623139917850494,-6.8,-1.1983735144138337,0.002819129111194892
